,,,,,,
,,,,,,
,Company Attendance,,,,,
,,,,,,
,,Company,"Proposed
Payment","Attendance
(Y/N)","Agreed
Payment",
,,,,,,
,"Quantum
Computing
Centered",Quantinuum,$350,,,
,,PsiQuantum,$350,,,Qnity
,,IonQ,$350,,,Teledyne
,,Rigetti,$350,,,
,,SpinQ,$350,,,
,,Error-Corp,$350,,,
,,Qrypt,$350,,,
,,,,,,
,"Big Tech
with
Quantum
Interest",Google Quantum AI,$350,,,
,,Microsoft Quantum,$350,,,
,,IBM Quantum,$350,,,
,,JP Morgan,,,,
,,,,,,
,War,Lockheed Martin (?),$500,,,
,,Northrop Grumann (?),$500,,,
,,Leidos (?),$500,,,
,,,,,,
,Government,NIST,$0,,,
,,Argonne National Lab,$0,,,
,,,,,,
,,,,,,
,"Quantum
Tech
Suppliers",Bluefors,$350,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,"Total Company
Count","Company Count
Proposed","Total Funds
Proposed","Count
Agreed","Total Funds 
Agreed",
,17,11,"$5,350",0,0,
,, ,,,,
,,,,,,
,,,,,,
,,,,,,
,Individual Attendance,,,,,
